GameKey,PlayerID,SeasonType,Season,GameDate,Week,Team,Opponent,HomeOrAway,Number,Name,Position,PositionCategory,Activated,Played,Started,PassingAttempts,PassingCompletions,PassingYards,PassingCompletionPercentage,PassingYardsPerAttempt,PassingYardsPerCompletion,PassingTouchdowns,PassingInterceptions,PassingRating,PassingLong,PassingSacks,PassingSackYards,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,RushingLong,ReceivingTargets,Receptions,ReceivingYards,ReceivingYardsPerReception,ReceivingTouchdowns,ReceivingLong,Fumbles,FumblesLost,PuntReturns,PuntReturnYards,PuntReturnYardsPerAttempt,PuntReturnTouchdowns,PuntReturnLong,KickReturns,KickReturnYards,KickReturnYardsPerAttempt,KickReturnTouchdowns,KickReturnLong,SoloTackles,AssistedTackles,TacklesForLoss,Sacks,SackYards,QuarterbackHits,PassesDefended,FumblesForced,FumblesRecovered,FumbleReturnYards,FumbleReturnTouchdowns,Interceptions,InterceptionReturnYards,InterceptionReturnTouchdowns,BlockedKicks,SpecialTeamsSoloTackles,SpecialTeamsAssistedTackles,MiscSoloTackles,MiscAssistedTackles,Punts,PuntYards,PuntAverage,FieldGoalsAttempted,FieldGoalsMade,FieldGoalsLongestMade,ExtraPointsMade,TwoPointConversionPasses,TwoPointConversionRuns,TwoPointConversionReceptions,FantasyPoints,FantasyPointsPPR,ReceptionPercentage,ReceivingYardsPerTarget,Tackles,OffensiveTouchdowns,DefensiveTouchdowns,SpecialTeamsTouchdowns,Touchdowns,FantasyPosition,FieldGoalPercentage,PlayerGameID,FumblesOwnRecoveries,FumblesOutOfBounds,KickReturnFairCatches,PuntReturnFairCatches,PuntTouchbacks,PuntInside20,PuntNetAverage,ExtraPointsAttempted,BlockedKickReturnTouchdowns,FieldGoalReturnTouchdowns,Safeties,FieldGoalsHadBlocked,PuntsHadBlocked,ExtraPointsHadBlocked,PuntLong,BlockedKickReturnYards,FieldGoalReturnYards,PuntNetYards,SpecialTeamsFumblesForced,SpecialTeamsFumblesRecovered,MiscFumblesForced,MiscFumblesRecovered,ShortName,PlayingSurface,IsGameOver,SafetiesAllowed,Stadium,Temperature,Humidity,WindSpeed,FanDuelSalary,DraftKingsSalary,FantasyDataSalary,OffensiveSnapsPlayed,DefensiveSnapsPlayed,SpecialTeamsSnapsPlayed,OffensiveTeamSnaps,DefensiveTeamSnaps,SpecialTeamsTeamSnaps,VictivSalary,TwoPointConversionReturns,FantasyPointsFanDuel,FieldGoalsMade0to19,FieldGoalsMade20to29,FieldGoalsMade30to39,FieldGoalsMade40to49,FieldGoalsMade50Plus,FantasyPointsDraftKings,YahooSalary,FantasyPointsYahoo,InjuryStatus,InjuryBodyPart,InjuryStartDate,InjuryNotes,FanDuelPosition,DraftKingsPosition,YahooPosition,OpponentRank,OpponentPositionRank,InjuryPractice,InjuryPracticeDescription,DeclaredInactive,FantasyDraftSalary,FantasyDraftPosition,TeamID,OpponentID,Day,DateTime,GlobalGameID,GlobalTeamID,GlobalOpponentID,ScoreID,FantasyPointsFantasyDraft,OffensiveFumbleRecoveryTouchdowns,SnapCountsConfirmed,Updated,ScoringDetails
202511630,24172,1,2025,2025-12-18T20:15:00,16,LAR,SEA,AWAY,12,Puka Nacua,WR,OFF,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,4.3,134.8,11.3,0.7,34.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.7,27.9,44.9,5.1,0.0,0.7,0.0,0.0,0.7,WR,0.0,991395759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Puka Nacua,Artificial,True,0.0,Lumen Field,28,60,4,5750.0,5391.0,5391.0,43,0,0,55,41,20,,0.0,26.1,0.0,0.0,0.0,0.0,0.0,29.7,26.0,24.3,Scrambled,Scrambled,,Scrambled,Scrambled,Scrambled,Scrambled,1.0,1.0,Scrambled,Scrambled,False,,,32,30,2025-12-18T00:00:00,2025-12-18T20:15:00,19268,32,30,19268,29.7,,True,2025-12-19T08:00:41,"[{'GameKey': '202511630', 'SeasonType': 1, 'PlayerID': 24172, 'Team': 'LAR', 'Season': 2025, 'Week': 16, 'ScoringType': 'ReceivingTouchdown', 'Length': 0, 'ScoringDetailID': 543833, 'PlayerGameID': 991395759, 'ScoringPlayID': 181697}, {'GameKey': '202511630', 'SeasonType': 1, 'PlayerID': 24172, 'Team': 'LAR', 'Season': 2025, 'Week': 16, 'ScoringType': 'ReceivingTouchdown', 'Length': 25, 'ScoringDetailID': 543839, 'PlayerGameID': 991395759, 'ScoringPlayID': 181701}]"
202511610,22490,1,2025,2025-12-21T16:05:00,16,JAX,DEN,AWAY,16,Trevor Lawrence,QB,OFF,1,1,1,21.6,13.8,167.1,38.3,2.8,4.3,1.1,0.0,69.1,37.7,1.8,5.0,2.2,12.0,1.2,0.4,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.7,18.7,0.0,0.0,0.0,0.4,0.0,0.0,0.4,QB,0.0,991397189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Trevor Lawrence,Grass,True,0.0,Empower Field at Mile High,28,17,2,4253.0,3534.0,3534.0,42,0,0,42,40,19,,0.0,18.7,0.0,0.0,0.0,0.0,0.0,18.7,23.0,18.7,Scrambled,Scrambled,,Scrambled,Scrambled,Scrambled,Scrambled,1.0,2.0,Scrambled,Scrambled,False,,,15,10,2025-12-21T00:00:00,2025-12-21T16:05:00,19277,15,10,19277,18.7,,True,2025-12-26T16:01:41,"[{'GameKey': '202511610', 'SeasonType': 1, 'PlayerID': 22490, 'Team': 'JAX', 'Season': 2025, 'Week': 16, 'ScoringType': 'PassingTouchdown', 'Length': 4, 'ScoringDetailID': 544033, 'PlayerGameID': 991397189, 'ScoringPlayID': 181791}, {'GameKey': '202511610', 'SeasonType': 1, 'PlayerID': 22490, 'Team': 'JAX', 'Season': 2025, 'Week': 16, 'ScoringType': 'PassingTouchdown', 'Length': 1, 'ScoringDetailID': 544043, 'PlayerGameID': 991397189, 'ScoringPlayID': 181798}, {'GameKey': '202511610', 'SeasonType': 1, 'PlayerID': 22490, 'Team': 'JAX', 'Season': 2025, 'Week': 16, 'ScoringType': 'RushingTouchdown', 'Length': 0, 'ScoringDetailID': 544060, 'PlayerGameID': 991397189, 'ScoringPlayID': 181810}, {'GameKey': '202511610', 'SeasonType': 1, 'PlayerID': 22490, 'Team': 'JAX', 'Season': 2025, 'Week': 16, 'ScoringType': 'PassingTouchdown', 'Length': 4, 'ScoringDetailID': 544064, 'PlayerGameID': 991397189, 'ScoringPlayID': 181813}]"
202511614,23241,1,2025,2025-12-22T20:15:00,16,SF,IND,AWAY,13,Brock Purdy,QB,OFF,1,1,1,20.4,15.0,176.7,44.0,3.1,4.2,1.8,0.4,76.0,15.6,0.4,0.0,0.7,3.9,2.0,0.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.5,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0.0,991398891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brock Purdy,Artificial,True,0.0,Lucas Oil Stadium,28,60,3,4492.0,3714.0,3714.0,38,0,0,40,36,18,,0.0,19.1,0.0,0.0,0.0,0.0,0.0,19.1,22.0,19.1,Scrambled,Scrambled,,Scrambled,Scrambled,Scrambled,Scrambled,10.0,4.0,Scrambled,Scrambled,False,,,31,14,2025-12-22T00:00:00,2025-12-22T20:15:00,19281,31,14,19281,19.1,,True,2025-12-23T08:10:10,"[{'GameKey': '202511614', 'SeasonType': 1, 'PlayerID': 23241, 'Team': 'SF', 'Season': 2025, 'Week': 16, 'ScoringType': 'PassingTouchdown', 'Length': 13, 'ScoringDetailID': 544160, 'PlayerGameID': 991398891, 'ScoringPlayID': 181840}, {'GameKey': '202511614', 'SeasonType': 1, 'PlayerID': 23241, 'Team': 'SF', 'Season': 2025, 'Week': 16, 'ScoringType': 'PassingTouchdown', 'Length': 1, 'ScoringDetailID': 544162, 'PlayerGameID': 991398891, 'ScoringPlayID': 181841}, {'GameKey': '202511614', 'SeasonType': 1, 'PlayerID': 23241, 'Team': 'SF', 'Season': 2025, 'Week': 16, 'ScoringType': 'PassingTouchdown', 'Length': 4, 'ScoringDetailID': 544166, 'PlayerGameID': 991398891, 'ScoringPlayID': 181843}, {'GameKey': '202511614', 'SeasonType': 1, 'PlayerID': 23241, 'Team': 'SF', 'Season': 2025, 'Week': 16, 'ScoringType': 'PassingTouchdown', 'Length': 1, 'ScoringDetailID': 544171, 'PlayerGameID': 991398891, 'ScoringPlayID': 181847}, {'GameKey': '202511614', 'SeasonType': 1, 'PlayerID': 23241, 'Team': 'SF', 'Season': 2025, 'Week': 16, 'ScoringType': 'PassingTouchdown', 'Length': 3, 'ScoringDetailID': 544176, 'PlayerGameID': 991398891, 'ScoringPlayID': 181851}]"
202511630,9038,1,2025,2025-12-18T20:15:00,16,LAR,SEA,AWAY,9,Matthew Stafford,QB,OFF,1,1,1,29.4,17.4,273.7,35.5,3.3,5.7,1.1,0.0,66.3,34.7,0.0,0.0,0.7,2.2,1.1,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.5,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0.0,991395704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matthew Stafford,Artificial,True,0.0,Lumen Field,28,60,4,4792.0,4193.0,4193.0,55,0,0,55,41,20,,0.0,20.3,0.0,0.0,0.0,0.0,0.0,20.3,23.0,18.5,Scrambled,Scrambled,,Scrambled,Scrambled,Scrambled,Scrambled,1.0,2.0,Scrambled,Scrambled,False,,,32,30,2025-12-18T00:00:00,2025-12-18T20:15:00,19268,32,30,19268,20.3,,True,2025-12-19T08:00:41,"[{'GameKey': '202511630', 'SeasonType': 1, 'PlayerID': 9038, 'Team': 'LAR', 'Season': 2025, 'Week': 16, 'ScoringType': 'PassingTouchdown', 'Length': 1, 'ScoringDetailID': 543827, 'PlayerGameID': 991395704, 'ScoringPlayID': 181693}, {'GameKey': '202511630', 'SeasonType': 1, 'PlayerID': 9038, 'Team': 'LAR', 'Season': 2025, 'Week': 16, 'ScoringType': 'PassingTouchdown', 'Length': 0, 'ScoringDetailID': 543832, 'PlayerGameID': 991395704, 'ScoringPlayID': 181697}, {'GameKey': '202511630', 'SeasonType': 1, 'PlayerID': 9038, 'Team': 'LAR', 'Season': 2025, 'Week': 16, 'ScoringType': 'PassingTouchdown', 'Length': 25, 'ScoringDetailID': 543838, 'PlayerGameID': 991395704, 'ScoringPlayID': 181701}]"
202511613,25868,1,2025,2025-12-21T16:25:00,16,LV,HOU,AWAY,2,Ashton Jeanty,RB,OFF,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4,76.7,1.9,0.4,30.5,0.7,0.4,35.9,35.9,0.4,35.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.4,19.0,30.0,18.0,0.0,0.7,0.0,0.0,0.7,RB,0.0,991398100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ashton Jeanty,Artificial,True,0.0,NRG Stadium,42,35,1,3953.0,3354.0,3354.0,30,0,0,32,39,18,,0.0,20.5,0.0,0.0,0.0,0.0,0.0,20.8,15.0,18.7,Scrambled,Scrambled,,Scrambled,Scrambled,Scrambled,Scrambled,0.0,3.0,Scrambled,Scrambled,False,,,25,13,2025-12-21T00:00:00,2025-12-21T16:25:00,19279,25,13,19279,20.8,,True,2025-12-26T16:16:57,"[{'GameKey': '202511613', 'SeasonType': 1, 'PlayerID': 25868, 'Team': 'LV', 'Season': 2025, 'Week': 16, 'ScoringType': 'ReceivingTouchdown', 'Length': 36, 'ScoringDetailID': 544063, 'PlayerGameID': 991398100, 'ScoringPlayID': 181812}, {'GameKey': '202511613', 'SeasonType': 1, 'PlayerID': 25868, 'Team': 'LV', 'Season': 2025, 'Week': 16, 'ScoringType': 'RushingTouchdown', 'Length': 31, 'ScoringDetailID': 544113, 'PlayerGameID': 991398100, 'ScoringPlayID': 181824}]"
202511609,21681,1,2025,2025-12-21T13:00:00,16,LAC,DAL,AWAY,10,Justin Herbert,QB,OFF,1,1,1,17.4,13.8,179.7,47.5,3.7,4.7,0.7,0.0,79.5,30.0,0.0,0.0,2.9,25.2,1.9,0.4,20.4,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.1,18.1,0.0,0.0,0.0,0.4,0.0,0.0,0.4,QB,0.0,991396892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Justin Herbert,Artificial,True,0.0,AT&T Stadium,35,27,2,4792.0,3594.0,3594.0,38,0,0,38,35,13,,0.0,19.9,0.0,0.0,0.0,0.0,0.0,19.9,20.0,18.1,Scrambled,Scrambled,,Scrambled,Scrambled,Scrambled,Scrambled,19.0,19.0,Scrambled,Scrambled,False,,,29,9,2025-12-21T00:00:00,2025-12-21T13:00:00,19272,29,9,19272,19.9,,True,2025-12-26T12:56:22,"[{'GameKey': '202511609', 'SeasonType': 1, 'PlayerID': 21681, 'Team': 'LAC', 'Season': 2025, 'Week': 16, 'ScoringType': 'PassingTouchdown', 'Length': 14, 'ScoringDetailID': 543874, 'PlayerGameID': 991396892, 'ScoringPlayID': 181728}, {'GameKey': '202511609', 'SeasonType': 1, 'PlayerID': 21681, 'Team': 'LAC', 'Season': 2025, 'Week': 16, 'ScoringType': 'PassingTouchdown', 'Length': 15, 'ScoringDetailID': 543886, 'PlayerGameID': 991396892, 'ScoringPlayID': 181737}, {'GameKey': '202511609', 'SeasonType': 1, 'PlayerID': 21681, 'Team': 'LAC', 'Season': 2025, 'Week': 16, 'ScoringType': 'RushingTouchdown', 'Length': 0, 'ScoringDetailID': 543933, 'PlayerGameID': 991396892, 'ScoringPlayID': 181750}]"
202511619,21693,1,2025,2025-12-21T13:00:00,16,CIN,MIA,AWAY,9,Joe Burrow,QB,OFF,1,1,1,19.2,15.0,185.1,46.8,3.5,4.4,1.4,0.0,87.7,21.6,0.7,3.9,0.7,2.2,1.1,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.3,17.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0.0,991396529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Joe Burrow,Grass,True,0.0,Hard Rock Stadium,43,60,4,4972.0,3894.0,3894.0,33,0,0,37,35,18,,0.0,19.1,0.0,0.0,0.0,0.0,0.0,19.1,21.0,17.3,Scrambled,Scrambled,,Scrambled,Scrambled,Scrambled,Scrambled,10.0,14.0,Scrambled,Scrambled,False,,,7,19,2025-12-21T00:00:00,2025-12-21T13:00:00,19280,7,19,19280,19.1,,True,2025-12-22T08:03:40,"[{'GameKey': '202511619', 'SeasonType': 1, 'PlayerID': 21693, 'Team': 'CIN', 'Season': 2025, 'Week': 16, 'ScoringType': 'PassingTouchdown', 'Length': 3, 'ScoringDetailID': 543878, 'PlayerGameID': 991396529, 'ScoringPlayID': 181730}, {'GameKey': '202511619', 'SeasonType': 1, 'PlayerID': 21693, 'Team': 'CIN', 'Season': 2025, 'Week': 16, 'ScoringType': 'PassingTouchdown', 'Length': 3, 'ScoringDetailID': 543951, 'PlayerGameID': 991396529, 'ScoringPlayID': 181758}, {'GameKey': '202511619', 'SeasonType': 1, 'PlayerID': 21693, 'Team': 'CIN', 'Season': 2025, 'Week': 16, 'ScoringType': 'PassingTouchdown', 'Length': 2, 'ScoringDetailID': 543987, 'PlayerGameID': 991396529, 'ScoringPlayID': 181768}, {'GameKey': '202511619', 'SeasonType': 1, 'PlayerID': 21693, 'Team': 'CIN', 'Season': 2025, 'Week': 16, 'ScoringType': 'PassingTouchdown', 'Length': 10, 'ScoringDetailID': 543995, 'PlayerGameID': 991396529, 'ScoringPlayID': 181773}]"
202511619,24374,1,2025,2025-12-21T13:00:00,16,CIN,MIA,AWAY,30,Chase Brown,RB,OFF,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,39.5,2.0,0.4,4.3,1.4,1.4,25.8,3.9,0.7,13.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.3,19.7,59.9,3.9,0.0,1.1,0.0,0.0,1.1,RB,0.0,991396737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chase Brown,Grass,True,0.0,Hard Rock Stadium,43,60,4,4313.0,4133.0,4133.0,22,0,0,37,35,18,,0.0,18.5,0.0,0.0,0.0,0.0,0.0,19.7,19.0,18.5,Scrambled,Scrambled,,Scrambled,Scrambled,Scrambled,Scrambled,10.0,6.0,Scrambled,Scrambled,False,,,7,19,2025-12-21T00:00:00,2025-12-21T13:00:00,19280,7,19,19280,19.7,,True,2025-12-22T08:03:40,"[{'GameKey': '202511619', 'SeasonType': 1, 'PlayerID': 24374, 'Team': 'CIN', 'Season': 2025, 'Week': 16, 'ScoringType': 'ReceivingTouchdown', 'Length': 3, 'ScoringDetailID': 543952, 'PlayerGameID': 991396737, 'ScoringPlayID': 181758}, {'GameKey': '202511619', 'SeasonType': 1, 'PlayerID': 24374, 'Team': 'CIN', 'Season': 2025, 'Week': 16, 'ScoringType': 'RushingTouchdown', 'Length': 4, 'ScoringDetailID': 543965, 'PlayerGameID': 991396737, 'ScoringPlayID': 181762}, {'GameKey': '202511619', 'SeasonType': 1, 'PlayerID': 24374, 'Team': 'CIN', 'Season': 2025, 'Week': 16, 'ScoringType': 'ReceivingTouchdown', 'Length': 2, 'ScoringDetailID': 543988, 'PlayerGameID': 991396737, 'ScoringPlayID': 181768}]"
202511611,23479,1,2025,2025-12-21T16:25:00,16,PIT,DET,AWAY,30,Jaylen Warren,RB,OFF,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,85.7,3.7,0.7,27.0,0.7,0.7,2.9,1.4,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,30.0,15.0,0.0,16.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2,17.4,59.9,1.4,0.0,0.7,0.0,0.0,0.7,RB,0.0,991398187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jaylen Warren,Artificial,True,0.0,Ford Field,16,12,1,4133.0,3654.0,3654.0,22,0,2,44,44,17,,0.0,18.6,0.0,0.0,0.0,0.0,0.0,19.2,16.0,16.8,Scrambled,Scrambled,,Scrambled,Scrambled,Scrambled,Scrambled,15.0,1.0,Scrambled,Scrambled,False,,,28,11,2025-12-21T00:00:00,2025-12-21T16:25:00,19278,28,11,19278,19.2,,True,2025-12-26T16:01:50,"[{'GameKey': '202511611', 'SeasonType': 1, 'PlayerID': 23479, 'Team': 'PIT', 'Season': 2025, 'Week': 16, 'ScoringType': 'RushingTouchdown', 'Length': 27, 'ScoringDetailID': 544099, 'PlayerGameID': 991398187, 'ScoringPlayID': 181821}, {'GameKey': '202511611', 'SeasonType': 1, 'PlayerID': 23479, 'Team': 'PIT', 'Season': 2025, 'Week': 16, 'ScoringType': 'RushingTouchdown', 'Length': 27, 'ScoringDetailID': 544132, 'PlayerGameID': 991398187, 'ScoringPlayID': 181826}]"
202511622,22565,1,2025,2025-12-21T13:00:00,16,NO,NYJ,HOME,12,Chris Olave,WR,OFF,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,3.6,88.7,5.3,0.7,22.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.1,22.0,37.4,3.3,0.0,0.7,0.0,0.0,0.7,WR,0.0,991396533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chris Olave,Artificial,True,0.0,Caesars Superdome,41,60,2,4612.0,3894.0,3894.0,37,0,0,47,40,17,,0.0,20.8,0.0,0.0,0.0,0.0,0.0,23.8,20.0,19.0,Scrambled,Scrambled,,Scrambled,Scrambled,Scrambled,Scrambled,16.0,5.0,Scrambled,Scrambled,False,,,22,24,2025-12-21T00:00:00,2025-12-21T13:00:00,19273,22,24,19273,23.8,,True,2025-12-22T08:02:07,"[{'GameKey': '202511622', 'SeasonType': 1, 'PlayerID': 22565, 'Team': 'NO', 'Season': 2025, 'Week': 16, 'ScoringType': 'ReceivingTouchdown', 'Length': 14, 'ScoringDetailID': 543981, 'PlayerGameID': 991396533, 'ScoringPlayID': 181766}, {'GameKey': '202511622', 'SeasonType': 1, 'PlayerID': 22565, 'Team': 'NO', 'Season': 2025, 'Week': 16, 'ScoringType': 'ReceivingTouchdown', 'Length': 23, 'ScoringDetailID': 544026, 'PlayerGameID': 991396533, 'ScoringPlayID': 181785}]"
