Key,TeamID,PlayerID,City,Name,Conference,Division,FullName,StadiumID,ByeWeek,AverageDraftPosition,AverageDraftPositionPPR,HeadCoach,OffensiveCoordinator,DefensiveCoordinator,SpecialTeamsCoach,OffensiveScheme,DefensiveScheme,UpcomingSalary,UpcomingOpponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,UpcomingFanDuelSalary,UpcomingDraftKingsSalary,UpcomingYahooSalary,PrimaryColor,SecondaryColor,TertiaryColor,QuaternaryColor,WikipediaLogoUrl,WikipediaWordMarkUrl,GlobalTeamID,DraftKingsName,DraftKingsPlayerID,FanDuelName,FanDuelPlayerID,FantasyDraftName,FantasyDraftPlayerID,YahooName,YahooPlayerID,AverageDraftPosition2QB,AverageDraftPositionDynasty,StadiumDetails
ARI,1,1,Arizona,Cardinals,NFC,West,Arizona Cardinals,29,8,,,Mike LaFleur,Nathaniel Hackett,Nick Rallis,Michael Ghobrial,3WR,3-4,,Scrambled,9,9,,,,97233F,FFFFFF,000000,A5ACAF,https://upload.wikimedia.org/wikipedia/en/7/72/Arizona_Cardinals_logo.svg,https://upload.wikimedia.org/wikipedia/commons/0/04/Arizona_Cardinals_wordmark.svg,1,Cardinals ,355,Arizona Cardinals,12546,Arizona Cardinals,355,Arizona Cardinals,100022,270.3,259.6,"{'StadiumID': 29, 'Name': 'State Farm Stadium', 'City': 'Glendale', 'State': 'AZ', 'Country': 'USA', 'Capacity': 63400, 'PlayingSurface': 'Grass', 'GeoLat': 33.528, 'GeoLong': -112.263036, 'Type': 'RetractableDome'}"
ATL,2,2,Atlanta,Falcons,NFC,South,Atlanta Falcons,45,5,,,Kevin Stefanski,Tommy Rees,Jeff Ulbrich,Craig Aukerman,3WR,3-4,,Scrambled,46,46,,,,000000,A71930,A5ACAF,FFFFFF,https://upload.wikimedia.org/wikipedia/en/c/c5/Atlanta_Falcons_logo.svg,https://upload.wikimedia.org/wikipedia/commons/e/ec/Atlanta_Falcons_wordmark.svg,2,Falcons ,323,Atlanta Falcons,12525,Atlanta Falcons,323,Atlanta Falcons,100001,237.9,287.8,"{'StadiumID': 45, 'Name': 'Mercedes-Benz Stadium', 'City': 'Atlanta', 'State': 'GA', 'Country': 'USA', 'Capacity': 71000, 'PlayingSurface': 'Artificial', 'GeoLat': 33.755556, 'GeoLong': -84.401, 'Type': 'RetractableDome'}"
BAL,3,36,Baltimore,Ravens,AFC,North,Baltimore Ravens,7,7,,,Jesse Minter,Declan Doyle,Anthony Weaver,Anthony Levine Sr.,3WR,3-4,,Scrambled,30,30,,,,24135F,000000,9A7611,,https://upload.wikimedia.org/wikipedia/en/1/16/Baltimore_Ravens_logo.svg,https://upload.wikimedia.org/wikipedia/commons/a/a9/Baltimore_Ravens_wordmark.svg,3,Ravens ,366,Baltimore Ravens,12555,Baltimore Ravens,366,Baltimore Ravens,100033,225.4,279.9,"{'StadiumID': 7, 'Name': 'M&T Bank Stadium', 'City': 'Baltimore', 'State': 'MD', 'Country': 'USA', 'Capacity': 71008, 'PlayingSurface': 'Grass', 'GeoLat': 39.278056, 'GeoLong': -76.622778, 'Type': 'Outdoor'}"
BUF,4,37,Buffalo,Bills,AFC,East,Buffalo Bills,1,7,,,Joe Brady,Pete Carmichael Jr.,Jim Leonhard,Jeff Rodgers,3WR,4-3,,Scrambled,12,12,,,,00338D,C60C30,FFFFFF,00274D,https://upload.wikimedia.org/wikipedia/en/7/77/Buffalo_Bills_logo.svg,https://upload.wikimedia.org/wikipedia/commons/b/bb/Buffalo_Bills_wordmark.svg,4,Bills ,324,Buffalo Bills,12526,Buffalo Bills,324,Buffalo Bills,100002,233.7,228.1,"{'StadiumID': 1, 'Name': 'Highmark Stadium', 'City': 'Orchard Park', 'State': 'NY', 'Country': 'USA', 'Capacity': 71608, 'PlayingSurface': 'Artificial', 'GeoLat': 42.773758, 'GeoLong': -78.786837, 'Type': 'Outdoor'}"
CAR,5,5,Carolina,Panthers,NFC,South,Carolina Panthers,26,14,,,Dave Canales,Brad Idzik,Ejiro Evero,Chris Tabor,3WR,3-4,,Scrambled,3,3,,,,000000,0085CA,BFC0BF,,https://upload.wikimedia.org/wikipedia/en/1/1c/Carolina_Panthers_logo.svg,https://upload.wikimedia.org/wikipedia/commons/d/dd/Carolina_Panthers_wordmark.svg,5,Panthers ,364,Carolina Panthers,12553,Carolina Panthers,364,Carolina Panthers,100029,212.4,292.7,"{'StadiumID': 26, 'Name': 'Bank of America Stadium', 'City': 'Charlotte', 'State': 'NC', 'Country': 'USA', 'Capacity': 74867, 'PlayingSurface': 'Artificial', 'GeoLat': 35.225833, 'GeoLong': -80.852778, 'Type': 'Outdoor'}"
CHI,6,38,Chicago,Bears,NFC,North,Chicago Bears,20,5,,,Ben Johnson,Press Taylor,Eric Washington,Richard Hightower,3WR,4-3,,Scrambled,3,3,,,,0B162A,E64100,FFFFFF,,https://upload.wikimedia.org/wikipedia/en/1/15/Chicago_Bears_logo_primary.svg,https://upload.wikimedia.org/wikipedia/commons/a/ae/Chicago_Bears_wordmark.svg,6,Bears ,326,Chicago Bears,12527,Chicago Bears,326,Chicago Bears,100003,260.5,277.9,"{'StadiumID': 20, 'Name': 'Soldier Field', 'City': 'Chicago', 'State': 'IL', 'Country': 'USA', 'Capacity': 61500, 'PlayingSurface': 'Grass', 'GeoLat': 41.86232, 'GeoLong': -87.616699, 'Type': 'Outdoor'}"
CIN,7,7,Cincinnati,Bengals,AFC,North,Cincinnati Bengals,5,10,,,Zac Taylor,Dan Pitcher,Al Golden,Darrin Simmons,3WR,4-3,,Scrambled,51,51,,,,000000,FB4F14,FFFFFF,,https://upload.wikimedia.org/wikipedia/commons/8/81/Cincinnati_Bengals_logo.svg,https://upload.wikimedia.org/wikipedia/commons/8/8e/Cincinnati_Bengals_wordmark.svg,7,Bengals ,327,Cincinnati Bengals,12528,Cincinnati Bengals,327,Cincinnati Bengals,100004,259.5,291.7,"{'StadiumID': 5, 'Name': 'Paycor Stadium', 'City': 'Cincinnati', 'State': 'OH', 'Country': 'USA', 'Capacity': 65515, 'PlayingSurface': 'Artificial', 'GeoLat': 39.095309, 'GeoLong': -84.516003, 'Type': 'Outdoor'}"
CLE,8,8,Cleveland,Browns,AFC,North,Cleveland Browns,6,9,,,Todd Monken,Tommy Rees,Mike Rutenberg,Byron Storer,3WR,4-3,,Scrambled,44,44,,,,311D00,FF3300,FFFFFF,,https://upload.wikimedia.org/wikipedia/en/d/d9/Cleveland_Browns_logo.svg,https://upload.wikimedia.org/wikipedia/commons/a/aa/Cleveland_Browns_wordmark.svg,8,Browns ,329,Cleveland Browns,12529,Cleveland Browns,329,Cleveland Browns,100005,266.9,252.1,"{'StadiumID': 6, 'Name': 'Huntington Bank Field', 'City': 'Cleveland', 'State': 'OH', 'Country': 'USA', 'Capacity': 67431, 'PlayingSurface': 'Grass', 'GeoLat': 41.506111, 'GeoLong': -81.699444, 'Type': 'Outdoor'}"
DAL,9,48,Dallas,Cowboys,NFC,East,Dallas Cowboys,17,10,,,Brian Schottenheimer,Klayton Adams,Christian Parker,Nick Sorenson,3WR,3-4,,Scrambled,35,35,,,,002244,B0B7BC,00338D,ADD9CE,https://upload.wikimedia.org/wikipedia/commons/1/15/Dallas_Cowboys.svg,https://upload.wikimedia.org/wikipedia/commons/b/be/Cowboys_wordmark.svg,9,Cowboys ,331,Dallas Cowboys,12530,Dallas Cowboys,331,Dallas Cowboys,100006,192.9,163.5,"{'StadiumID': 17, 'Name': 'AT&T Stadium', 'City': 'Arlington', 'State': 'TX', 'Country': 'USA', 'Capacity': 80000, 'PlayingSurface': 'Artificial', 'GeoLat': 32.747778, 'GeoLong': -97.092778, 'Type': 'RetractableDome'}"
DEN,10,49,Denver,Broncos,AFC,West,Denver Broncos,13,12,,,Sean Payton,Davis Webb,Vance Joseph,Darren Rizzi,3WR,3-4,,Scrambled,19,19,,,,FC4C02,0A2343,FFFFFF,,https://upload.wikimedia.org/wikipedia/en/4/44/Denver_Broncos_logo.svg,https://upload.wikimedia.org/wikipedia/commons/c/c4/Denver_Broncos_wordmark_%28c._1997%29.png,10,Broncos ,332,Denver Broncos,12531,Denver Broncos,332,Denver Broncos,100007,208.6,268.1,"{'StadiumID': 13, 'Name': 'Empower Field at Mile High', 'City': 'Denver', 'State': 'CO', 'Country': 'USA', 'Capacity': 76125, 'PlayingSurface': 'Grass', 'GeoLat': 39.743889, 'GeoLong': -105.020097, 'Type': 'Outdoor'}"
